PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
m6ly,Indiana Bandits,Eastern,N/A,EBA,1,10,8,7,0,3,1,2,2,4,5,1,2
Kazout_3,Minnesota Huskies,Eastern,N/A,EBA,1,12,4,2,0,0,0,0,0,6,8,1,1
segunda etapa,Minnesota Huskies,Eastern,N/A,EBA,1,31,4,1,0,0,1,5,6,13,20,1,1
Sensei_Mario,Atlanta Breeze,Eastern,N/A,EBA,1,13,5,1,0,0,1,3,5,5,7,2,0
12zefd,Miami Beach Kings,Eastern,N/A,EBA,1,24,11,2,0,0,4,4,9,9,16,1,2
splash,Miami Beach Kings,Eastern,N/A,EBA,2,10.5,6,9.5,1.5,1.5,2,1.5,2,4.5,6,1,2
91pts,Phoenix Power,Western,N/A,EBA,1,10,6,11,0,10,2,2,3,4,9,3,0
innon,Miami Beach Kings,Eastern,N/A,EBA,1,10,1,3,0,2,2,2,4,4,7,1,2
kevJT,Detroit Bullets,Eastern,N/A,EBA,1,23,1,5,0,0,8,7,9,8,13,1,2
druskl,Mexico City Aztecs,Western,N/A,EBA,1,12,5,5,11,0,1,2,2,5,6,2,0
sentinel,Detroit Bullets,Eastern,N/A,EBA,1,13,4,4,0,2,4,3,5,5,9,1,2
ExclusiveTrade,Detroit Bullets,Eastern,N/A,EBA,1,9,1,6,1,0,4,3,5,3,5,1,2
Mic_Hawk,Detroit Bullets,Eastern,N/A,EBA,1,13,1,2,0,0,2,4,5,4,5,1,2
atxRalph,Orlando Supernovas,Eastern,N/A,EBA,1,0,1,0,0,1,2,0,0,0,0,1,1
austin,Arizona Panthers,Western,N/A,EBA,1,14,0,0,0,0,0,4,6,4,6,0,2
genoc9de,Arizona Panthers,Western,N/A,EBA,1,27,3,8,0,0,3,5,13,11,25,0,2
cahpn,Arizona Panthers,Western,N/A,EBA,1,11,4,0,0,1,2,3,5,4,8,0,2
tacshady,Arizona Panthers,Western,N/A,EBA,1,5,4,4,0,1,1,1,2,2,3,0,2
grim,Arizona Panthers,Western,N/A,EBA,1,8,11,1,0,1,0,0,0,4,8,0,2
zhari,Washington Volt,Western,N/A,EBA,2,10,4,1.5,0,1.5,1,2,2,4,4,1,2
Jj234091,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent Comedic,Portland Vipers,Western,N/A,EBA,1,1,2,1,0,0,3,0,1,0,1,1,3
Smoov1e,Portland Vipers,Western,N/A,EBA,1,12,2,2,0,0,1,2,5,5,12,1,3
Doodi,Nashville Anthem,Western,N/A,EBA,1,3,4,0,0,2,3,1,1,1,3,2,1
Hira,Nashville Anthem,Western,N/A,EBA,1,21,6,4,1,2,4,1,3,10,12,2,1
rocko,Seattle Reign,Western,N/A,EBA,1,45,3,13,1,0,3,9,12,18,23,0,3
Drooplits,Seattle Reign,Western,N/A,EBA,1,7,2,6,0,0,0,1,2,3,6,0,3
ffaiit,Seattle Reign,Western,N/A,EBA,1,11,4,2,1,0,1,3,8,4,12,0,3
linc,Seattle Reign,Western,N/A,EBA,1,16,4,3,0,0,2,4,6,6,11,0,3
BasicHuman,Seattle Reign,Western,N/A,EBA,1,13,2,0,2,1,0,1,2,6,11,0,3
Uni,Sacramento Rage,Western,N/A,EBA,1,39,4,5,0,0,1,11,11,14,17,2,2
wraith,Sacramento Rage,Western,N/A,EBA,1,27,8,22,1,0,2,5,6,11,13,2,2
OnlyDae,Sacramento Rage,Western,N/A,EBA,1,6,5,1,0,0,0,0,0,3,3,2,2
V1L1E,Philadelphia Glory,Eastern,N/A,EBA,1,13,1,12,1,0,4,1,1,6,9,1,3
timer,Philadelphia Glory,Eastern,N/A,EBA,1,21,1,0,0,0,0,7,7,7,7,1,3
P8O,Washington Volt,Western,N/A,EBA,2,10.5,2,8.5,0,0,1.5,1.5,4,4.5,7.5,1,2
JoshJacobs,Philadelphia Glory,Eastern,N/A,EBA,1,22,2,7,2,0,4,5,6,8,12,1,3
uwu,Philadelphia Glory,Eastern,N/A,EBA,1,6,2,4,0,2,1,0,0,3,3,1,3
